"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2019-09-24","92.7",-3.32744422207774,5.27738574936753,"Max Scherzer",656514,453286,"field_out","hit_into_play",,,,,"6","Adam Haseley flies out to center fielder Victor Robles.  ","R","L","R","WSH","PHI","X",8,"fly_ball",0,0,2019,-0.935309409514951,1.20882804201628,"0.62","2.78","null","null",664068,2,6,"Top","118.89","90.43",,,"543228",,"190925_005920",12.1591239228784,-134.558231296735,-3.24787005044417,-13.937611544204,27.2342977230824,-16.8767556295578,3.34,1.73,"257","76.7","39",93.082,"2299",6.502,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",53.9975984461093,"0.060","0.054","0.00",1,0,0,3,46,"1","4-Seam Fastball",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"CH","2019-09-24","84.4",-3.29666091144261,5.25184460909606,"Max Scherzer",664068,453286,"single","hit_into_play_no_out",,,,,"9","Scott Kingery singles on a soft ground ball to third baseman Anthony Rendon.  ","R","R","R","WSH","PHI","X",5,"ground_ball",1,2,2019,-1.34270390762821,0.0860116506057475,"0.65","1.46","null","null","null",2,6,"Top","116.21","174.41",,,"543228",,"190925_005823",11.7878127768245,-122.38346439028,-2.60622288330213,-15.6969252887589,22.6075971821049,-31.0309601051331,3.34,1.56,"6","51.5","-24",84.304,"1494",6.278,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.221939506013,"0.090","0.081","0.90",1,1,0,1,45,"5","Changeup",2,4,4,2,4,2,4,2,"Standard","Standard"
"FF","2019-09-24","97.4",-3.13522660029131,5.362472248474,"Max Scherzer",664068,453286,"null","foul",,,,,"8","null","R","R","R","WSH","PHI","S","null","null",1,2,2019,-0.839316293010682,1.34828166718331,"-0.12","2.18","null","null","null",2,6,"Top","null","null",,,"543228",,"190925_005750",9.95827115256431,-141.451506865379,-6.08631877061756,-13.4013412903084,30.8208902923579,-13.0193470096216,3.46,1.62,"null","null","null",97.175,"2465",6.171,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.3289361840526,"null","null","null","null","null","null","null",45,"4","4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard"
"SL","2019-09-24","84.8",-3.40051646930246,5.0587330095796,"Max Scherzer",664068,453286,"null","ball",,,,,"14","null","R","R","R","WSH","PHI","B","null","null",0,2,2019,0.463994237026248,-0.0155938939479789,"1.39","0.80","null","null","null",2,6,"Top","null","null",,,"543228",,"190925_005726",10.2273813374138,-123.150611180794,-3.55956828286671,2.70170205856879,23.9894914397149,-31.8590314726092,3.37,1.51,"null","null","null",84.482,"2295",6.15,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.349979042956,"null","null","null","null","null","null","null",45,"3","Slider",2,4,4,2,4,2,4,2,"Standard","Standard"
"CU","2019-09-24","79.1",-3.29169148881536,5.38382574858651,"Max Scherzer",664068,453286,"null","foul",,,,,"4","null","R","R","R","WSH","PHI","S","null","null",0,1,2019,0.800036425230077,0.0326046842864806,"-0.53","2.74","null","null","null",2,6,"Top","null","null",,,"543228",,"190925_005705",4.51790721256625,-115.12241782823,0.934115247893954,6.16877866410006,20.7080132240945,-32.2955726038802,3.43,1.53,"162","null","null",78.443,"2818",5.747,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.7521597893725,"null","null","null","null","null","null","null",45,"2","Curveball",2,4,4,2,4,2,4,2,"Standard","Standard"
"FF","2019-09-24","95.4",-3.39841672626908,5.21310929678553,"Max Scherzer",664068,453286,"null","called_strike",,,,,"9","null","R","R","R","WSH","PHI","S","null","null",0,0,2019,-1.11119475182713,1.21748435687303,"0.59","2.01","null","null","null",2,6,"Top","null","null",,,"543228",,"190925_005640",12.7916858681268,-138.144716997208,-5.37915152798757,-16.8120142288643,29.7845676195404,-15.8443221151493,3.43,1.56,"null","null","null",94.451,"2589",5.934,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.5653526247311,"null","null","null","null","null","null","null",45,"1","4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard"
"FC","2019-09-24","90.1",-3.27578628097145,5.16310504206066,"Max Scherzer",543543,453286,"strikeout","swinging_strike",,,,,"14","Brad Miller strikes out swinging.  ","R","L","R","WSH","PHI","S",2,"null",0,2,2019,-0.0232832484884974,0.604362013628894,"1.24","1.14","null","null","null",1,6,"Top","null","null",,,"543228",,"190925_005605",11.1421127755477,-130.75273211835,-5.23181948971783,-2.45231438840026,25.6821742644479,-24.5224828876597,3.55,1.62,"null","null","null",89.403,"2588",5.857,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.6425925213622,"null","null","0.00",1,0,0,"null",44,"3","Cutter",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"CU","2019-09-24","80.6",-3.22098602241584,5.37424094466475,"Max Scherzer",543543,453286,"null","swinging_strike",,,,,"14","null","R","L","R","WSH","PHI","S","null","null",0,1,2019,0.905514875050731,-0.631992447240112,"0.52","1.32","null","null","null",1,6,"Top","null","null",,,"543228",,"190925_005538",6.57189031126015,-117.248282529973,-1.18055962256394,7.05313205571789,21.1571488896659,-37.9399022411251,3.43,1.56,"null","null","null",80.11,"2794",5.867,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.6324308195264,"null","null","null","null","null","null","null",44,"2","Curveball",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"FF","2019-09-24","95.9",-3.12908649124136,5.41841855723597,"Max Scherzer",543543,453286,"null","swinging_strike",,,,,"3","null","R","L","R","WSH","PHI","S","null","null",0,0,2019,-0.888726963832267,1.27554544458026,"0.33","3.22","null","null","null",1,6,"Top","null","null",,,"543228",,"190925_005520",11.0235275591309,-139.20604959656,-2.9988906149365,-13.8794066691219,31.2957726171902,-15.3706564337059,3.66,1.71,"null","null","null",95.115,"2547",5.974,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.5254595231155,"null","null","null","null","null","null","null",44,"1","4-Seam Fastball",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"SL","2019-09-24","84.7",-3.42828324004113,5.02288874596749,"Max Scherzer",516416,453286,"field_out","hit_into_play",,,,,"9","Jean Segura grounds out, shortstop Trea Turner to first baseman Matt Adams.  ","R","R","R","WSH","PHI","X",6,"ground_ball",2,2,2019,0.327944981258547,0.0529101309181544,"0.64","1.71","null","null","null",0,6,"Top","106.11","155.05",,,"543228",,"190925_005444",8.81803148695655,-123.110288808101,-1.5175620373174,1.65497693554003,23.2440278761094,-31.5670765872782,3.11,1.51,"5","89.5","-26",84.518,"null",6.124,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.375410626846,"0.092","0.084","0.00",1,0,0,2,43,"6","Slider",2,4,4,2,4,2,4,2,"Standard","Standard"
